,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
104,GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$57.23,3.89,7.293%,"116,715,580,465"
105,PANW,"Palo Alto Networks, Inc. Common Stock",$166.72,0.48,0.289%,"116,203,840,000"
106,NOW,"ServiceNow, Inc. Common Stock",$111.07,1.30,1.184%,"116,179,220,000"
107,ADBE,Adobe Inc. Common Stock,$279.71,7.78,2.861%,"114,820,955,000"
108,HCA,"HCA Healthcare, Inc. Common Stock",$493.64,-5.57,-1.116%,"112,645,636,796"
109,SATA,"Strive, Inc. Variable Rate Series A Perpetual Preferred Stock",$90.08,-0.99,-1.087%,"112,369,108,205"
110,BSX,Boston Scientific Corporation Common Stock,$75.50,-16.12,-17.594%,"111,924,373,945"
111,CMCSA,Comcast Corporation Class A Common Stock,$30.50,0.74,2.487%,"111,138,782,403"
112,ARM,Arm Holdings plc American Depositary Shares,$104.90,0.35,0.335%,"111,116,793,495"
113,SBUX,Starbucks Corporation Common Stock,$96.97,3.93,4.224%,"110,474,244,092"
114,IBN,ICICI Bank Limited Common Stock,$30.92,0.46,1.51%,"110,315,440,856"
115,ENB,Enbridge Inc Common Stock,$50.16,0.83,1.683%,"109,412,784,748"
116,MO,"Altria Group, Inc.",$65.16,1.00,1.559%,"109,382,238,328"
117,CME,CME Group Inc. Class A Common Stock,$294.62,1.55,0.529%,"106,238,984,139"
118,CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$415.36,-6.37,-1.51%,"104,711,608,038"
119,MELI,"MercadoLibre, Inc. Common Stock","$2,052.78",-47.12,-2.244%,"104,070,161,266"
120,BN,Brookfield Corporation Class A Limited Voting Shares,$45.88,1.25,2.801%,"103,016,064,175"
121,BP,BP p.l.c. Common Stock,$39.20,0.38,0.979%,"102,261,841,444"
122,MCK,McKesson Corporation Common Stock,$822.00,-29.12,-3.421%,"101,456,706,300"
123,BMO,Bank Of Montreal Common Stock,$140.80,-0.46,-0.326%,"99,813,919,603"
124,AEM,Agnico Eagle Mines Limited Common Stock,$198.54,1.19,0.603%,"99,808,920,947"
125,NOC,Northrop Grumman Corporation Common Stock,$704.98,19.96,2.914%,"100,051,904,373"
126,ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$8.79,0.09,1.034%,"99,833,943,640"
127,SO,Southern Company (The) Common Stock,$90.13,1.94,2.20%,"99,242,579,500"
