,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
3447,SAJ,Saratoga Investment Corp 8.00% Notes due 2027,$25.76,-0.05,-0.194%,"403,611,055"
3448,OEC,Orion S.A. Common Shares,$7.17,0.46,6.855%,"402,593,392"
3449,SNDL,SNDL Inc. Common Shares,$1.56,-0.03,-1.887%,"401,700,000"
3450,DDT,Dillard's Capital Trust I,$26.2001,-0.0099,-0.038%,"409,061,270"
3451,BAND,Bandwidth Inc. Class A Common Stock,$13.36,-0.73,-5.181%,"407,768,322"
3452,JACK,Jack In The Box Inc. Common Stock,$21.57,0.57,2.714%,"407,604,494"
3453,PDLB,"Ponce Financial Group, Inc. Common Stock",$16.89,-0.06,-0.354%,"405,379,001"
3454,LCTX,"Lineage Cell Therapeutics, Inc. Common Stock",$1.76,0.22,14.286%,"405,376,465"
3455,ISTR,Investar Holding Corporation Common Stock,$29.42,-0.02,-0.068%,"404,988,924"
3456,SAJ,Saratoga Investment Corp 8.00% Notes due 2027,$25.81,-0.01,-0.039%,"404,394,461"
3457,TII,Titan Mining Corporation Common Shares,$4.42,0.42,10.50%,"404,384,788"
3458,LEO,"BNY Mellon Strategic Municipals, Inc. Common Stock",$6.48,0.02,0.31%,"403,644,734"
3459,TITN,Titan Machinery Inc. Common Stock,$17.24,0.36,2.133%,"402,901,800"
3460,MTRX,Matrix Service Company Common Stock,$14.32,0.12,0.845%,"402,743,227"
3461,ADUR,Aduro Clean Technologies Inc. Common Stock,$12.09,-0.44,-3.512%,"402,342,771"
3462,SAZ,Saratoga Investment Corp 8.50% Notes due 2028,$25.66,0.06,0.234%,"402,044,241"
3463,SAY,Saratoga Investment Corp 8.125% Notes due 2027,$25.575,-0.005,-0.02%,"400,712,450"
3464,BOC,Boston Omaha Corporation Class A Common Stock,$12.73,-0.05,-0.391%,"400,402,215"
3465,NBP,NovaBridge Biosciences American Depositary Shares,$3.48,0.05,1.458%,"400,177,992"
3466,HELE,Helen of Troy Limited Common Stock,$17.34,-0.50,-2.803%,"400,070,266"
3467,NRC,National Research Corporation Common Stock (Delaware),$17.62,-4.28,-19.543%,"399,223,758"
3468,BRBS,"Blue Ridge Bankshares, Inc. Common Stock",$4.36,0.07,1.632%,"398,890,562"
3469,VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.94,0.01,0.112%,"396,989,819"
3470,PSFE,Paysafe Limited Common Shares,$6.62,-0.35,-5.022%,"396,460,572"
3471,SPIR,"Spire Global, Inc. Class A Common Stock",$11.45,0.13,1.148%,"396,256,848"
3472,CLPT,"ClearPoint Neuro, Inc. Common Stock",$13.94,0.70,5.287%,"396,220,914"
3473,TLS,Telos Corporation Common Stock,$5.37,-0.16,-2.893%,"396,060,747"
3474,ATNI,"ATN International, Inc. Common Stock",$25.91,1.26,5.112%,"395,319,001"
3475,ELVA,Electrovaya Inc. Common Shares,$9.22,-1.90,-17.086%,"388,244,242"
3476,NEXN,Nexxen International Ltd. Ordinary Shares,$5.91,0.19,3.322%,"387,475,380"
3477,BBBY,"Bed Bath & Beyond, Inc. Common Stock",$5.62,-0.36,-6.02%,"387,143,541"
3478,OPAL,OPAL Fuels Inc. Class A Common Stock,$2.23,-0.03,-1.327%,"386,671,327"
3479,BTQ,BTQ Technologies Corp. Common Stock,$2.76,-0.18,-6.122%,"386,471,567"
3480,PERI,Perion Network Ltd. Ordinary Shares,$8.58,0.16,1.90%,"386,419,004"
3481,API,"Agora, Inc. American Depositary Shares",$4.13,-0.02,-0.482%,"386,199,360"
3482,TOYO,"TOYO Co., Ltd Ordinary Shares",$10.21,0.88,9.432%,"385,672,509"
3483,AVBC,"Avidia Bancorp, Inc. Common Stock",$19.21,-0.28,-1.437%,"385,664,763"
3484,ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,$25.48,-0.07,-0.274%,"385,396,441"
3485,ACRS,"Aclaris Therapeutics, Inc. Common Stock",$3.54,0.07,2.017%,"383,542,146"
3486,LSAK,"Lesaka Technologies, Inc. Common Stock",$4.56,-0.04,-0.87%,"383,433,979"
3487,ADUR,Aduro Clean Technologies Inc. Common Stock,$11.52,-0.57,-4.715%,"383,373,757"
3488,KFS,"Kingsway Financial Services, Inc. Common Stock (DE)",$13.23,-0.28,-2.073%,"383,089,891"
3489,TII,Titan Mining Corporation Common Shares,$4.18,-0.24,-5.43%,"382,427,243"
3490,USNA,"USANA Health Sciences, Inc. Common Stock",$20.90,0.46,2.25%,"382,069,911"
3491,TLS,Telos Corporation Common Stock,$5.18,-0.19,-3.538%,"382,047,424"
3492,KELYB,"Kelly Services, Inc. Class B Common Stock",$10.81,-3.64,-25.19%,"382,014,655"
3493,KELYA,"Kelly Services, Inc. Class A Common Stock",$10.79,0.15,1.41%,"381,307,875"
3494,SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$18.60,-0.10,-0.535%,"381,123,319"
3495,CTRN,"Citi Trends, Inc. Common Stock",$45.61,-0.19,-0.415%,"380,627,309"
3496,MTRX,Matrix Service Company Common Stock,$13.50,-0.82,-5.726%,"379,681,115"
3497,CATX,"Perspective Therapeutics, Inc. Common Stock",$5.10,-0.10,-1.923%,"379,123,749"
3498,SAR,Saratoga Investment Corp New,$23.41,-0.39,-1.639%,"378,868,798"
3499,NFE,New Fortress Energy Inc. Class A Common Stock,$1.33,-0.04,-2.92%,"378,455,239"
3500,FBIOP,"Fortress Biotech, Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock",$12.13,-0.05,-0.411%,"383,768,176"
3501,SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$18.70,0.07,0.376%,"383,172,369"
3502,YSG,"Yatsen Holding Limited American Depositary Shares, each representing twenty (20) Class A Ordinary Shares",$4.08,-0.03,-0.73%,"382,900,958"
3503,NMG,Nouveau Monde Graphite Inc. Common Shares,$2.51,0.20,8.658%,"382,594,795"
3504,CTRN,"Citi Trends, Inc. Common Stock",$45.80,1.64,3.714%,"382,212,908"
3505,FMAO,"Farmers & Merchants Bancorp, Inc. Common Stock",$27.73,0.04,0.144%,"381,285,947"
3506,PERI,Perion Network Ltd. Ordinary Shares,$8.42,-0.31,-3.551%,"379,213,056"
3507,YDDL,One and One Green Technologies. Inc Class A Ordinary Shares,$6.95,0.81,13.192%,"378,775,000"
3508,HYLN,Hyliion Holdings Corp. Class A Common Stock,$2.15,0.05,2.381%,"378,344,590"
3509,TTGT,"TechTarget, Inc. Common Stock",$5.24,-0.02,-0.38%,"378,107,427"
3510,ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,$24.97,0.0396,0.159%,"377,682,462"
3511,VOXR,Vox Royalty Corp. Common Stock,$5.53,0.27,5.133%,"377,527,150"
3512,AURA,"Aura Biosciences, Inc. Common Stock",$5.94,0.06,1.02%,"377,209,418"
3513,VELO,"Velo3D, Inc. Common stock",$15.32,2.72,21.587%,"377,142,092"
3514,OEC,Orion S.A. Common Shares,$6.71,0.30,4.68%,"376,764,527"
3515,KELYA,"Kelly Services, Inc. Class A Common Stock",$10.64,-0.55,-4.915%,"376,007,024"
3516,ACRS,"Aclaris Therapeutics, Inc. Common Stock",$3.47,-0.14,-3.878%,"375,957,979"
3517,RM,Regional Management Corp. Common Stock,$38.62,0.11,0.286%,"375,108,529"
3518,NEXN,Nexxen International Ltd. Ordinary Shares,$5.72,-0.49,-7.89%,"375,018,472"
3519,NIOBW,NioCorp Developments Ltd. Warrant,$3.049,0.539,21.474%,"374,939,103"
3520,RCKT,"Rocket Pharmaceuticals, Inc. Common Stock",$3.46,-0.02,-0.575%,"374,448,909"
3521,AKBA,"Akebia Therapeutics, Inc. Common Stock",$1.41,0.03,2.174%,"374,166,050"
3522,USNA,"USANA Health Sciences, Inc. Common Stock",$20.44,-1.22,-5.633%,"373,660,717"
3523,VFF,"Village Farms International, Inc. Common Shares",$3.23,-0.04,-1.223%,"373,122,384"
3524,CMTG,"Claros Mortgage Trust, Inc. Common Stock",$2.66,-0.18,-6.338%,"372,981,912"
3525,TACO,Berto Acquisition Corp. Ordinary Shares,$10.20,UNCH,--,"371,710,766"
3526,ATLCP,"Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",$24.53,-0.006,-0.024%,"371,421,731"
3527,SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,$18.12,UNCH,--,"371,287,878"
3528,GNE,Genie Energy Ltd. Class B Common Stock Stock,$13.99,0.29,2.117%,"370,664,406"
3529,PNNT,PennantPark Investment Corporation Common Stock,$5.66,-0.13,-2.245%,"369,575,892"
3530,ISBA,Isabella Bank Corporation Common stock,$50.28,0.55,1.106%,"368,808,627"
3531,MVBF,MVB Financial Corp. Common Stock,$28.98,-0.42,-1.429%,"368,683,386"
3532,PEPG,PepGen Inc. Common Stock,$5.36,0.28,5.512%,"368,490,481"
3533,FCEL,"FuelCell Energy, Inc. Common Stock",$7.72,0.37,5.034%,"368,059,052"
3534,OPENZ,"Opendoor Technologies Inc  Series Z Warrants, each whole warrant exercisable to purchase one share of Common Stock at an exercise price of $17.00 per warrant",$0.3852,0.0051,1.342%,"367,399,183"
3535,AUTL,Autolus Therapeutics plc American Depositary Share,$1.38,UNCH,--,"367,277,735"
3536,RBB,RBB Bancorp Common Stock,$21.50,0.16,0.75%,"366,508,286"
3537,BMBL,Bumble Inc. Class A Common Stock,$3.24,-0.10,-2.994%,"365,274,344"
3538,PLBC,Plumas Bancorp,$52.30,0.34,0.654%,"363,773,382"
3539,PMO,Putnam Municipal Opportunities Trust Common Stock,$10.68,0.01,0.094%,"362,923,136"
3540,MCFT,"MasterCraft Boat Holdings, Inc. Common Stock",$22.25,0.24,1.09%,"362,425,756"
3541,RNGR,"Ranger Energy Services, Inc. Class A Common Stock",$16.74,0.84,5.283%,"361,813,120"
3542,BNR,Burning Rock Biotech Limited American Depositary Shares,$33.60,-5.93,-15.001%,"361,757,626"
3543,KTF,DWS Municipal Income Trust,$9.14,0.01,0.11%,"361,038,573"
3544,ISSC,"Innovative Solutions and Support, Inc. Common Stock",$20.33,0.85,4.363%,"360,905,357"
3545,KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,$10.60,-0.04,-0.376%,"360,877,859"
3546,PBFS,"Pioneer Bancorp, Inc. Common Stock",$14.38,0.15,1.054%,"360,658,266"
3547,AII,"American Integrity Insurance Group, Inc. Common Stock",$18.36,-0.64,-3.368%,"359,430,121"
3548,PPT,Putnam Premier Income Trust Common Stock,$3.61,-0.02,-0.551%,"359,297,029"
3549,BMM,Blue Moon Metals Inc. Common Shares,$4.44,0.18,4.225%,"358,944,083"
3550,SVC,Service Properties Trust Common Stock,$2.12,0.07,3.415%,"356,342,750"
3551,FVR,"FrontView REIT, Inc. Common Stock",$16.45,UNCH,--,"356,202,855"
3552,RNGR,"Ranger Energy Services, Inc. Class A Common Stock",$16.48,-0.26,-1.553%,"356,193,562"
3553,OPENZ,"Opendoor Technologies Inc  Series Z Warrants, each whole warrant exercisable to purchase one share of Common Stock at an exercise price of $17.00 per warrant",$0.3728,-0.0124,-3.219%,"355,572,211"
3554,BNR,Burning Rock Biotech Limited American Depositary Shares,$32.99,-0.61,-1.815%,"355,190,002"
3555,ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$5.32,-0.05,-0.931%,"354,627,130"
3556,BGIN,Bgin Blockchain Limited Class A Ordinary Shares,$3.13,0.14,4.682%,"354,115,495"
3557,SCM,Stellus Capital Investment Corporation Common Stock,$12.22,-0.03,-0.245%,"353,735,444"
3558,FRST,Primis Financial Corp. Common Stock,$14.31,0.17,1.202%,"352,661,149"
3559,ATGL,Alpha Technology Group Limited Class A Ordinary Shares,$21.20,0.63,3.063%,"349,005,000"
3560,AMCX,AMC Networks Inc. Class A Common Stock,$8.00,0.27,3.493%,"348,214,152"
3561,NECB,"NorthEast Community Bancorp, Inc. Common Stock",$24.82,0.22,0.894%,"348,156,097"
3562,MPX,Marine Products Corporation Common Stock,$9.94,0.03,0.303%,"347,890,398"
3563,CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,$28.34,0.06,0.212%,"347,788,565"
3564,VALU,"Value Line, Inc. Common Stock",$37.00,-0.37,-0.99%,"347,425,301"
3565,TARA,"Protara Therapeutics, Inc.  Common Stock",$6.71,-0.04,-0.593%,"346,442,259"
3566,NRC,National Research Corporation Common Stock (Delaware),$15.27,-2.35,-13.337%,"345,978,819"
3567,ONIT,Onity Group Inc. Common Stock,$42.85,-0.11,-0.256%,"345,322,751"
3568,LNKB,"LINKBANCORP, Inc. Common Stock",$9.21,0.17,1.881%,"344,966,518"
3569,ASLE,AerSale Corporation Common Stock,$7.30,-0.21,-2.796%,"344,450,580"
3570,JFIN,Jiayin Group Inc. American Depositary Shares,$6.44,-0.07,-1.075%,"343,699,876"
3571,ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$26.725,-0.425,-1.565%,"343,485,334"
3572,WSBF,"Waterstone Financial, Inc. Common Stock (MD)",$18.61,0.015,0.081%,"343,483,244"
3573,CD,Chaince Digital Holdings Inc. Ordinary Shares,$5.39,-0.08,-1.463%,"343,270,575"
3574,NIOBW,NioCorp Developments Ltd. Warrant,$2.78,-0.269,-8.823%,"341,859,858"
3575,MLP,"Maui Land & Pineapple Company, Inc. Common Stock",$17.31,0.25,1.465%,"341,728,983"
3576,ARTNA,Artesian Resources Corporation Class A Common Stock,$33.13,-0.16,-0.481%,"341,674,494"
3577,EVH,"Evolent Health, Inc Class A Common Stock",$3.06,-0.03,-0.971%,"341,498,619"
3578,AUNA,Auna SA Class A Ordinary Shares,$4.60,-0.07,-1.499%,"340,459,639"
3579,BMM,Blue Moon Metals Inc. Common Shares,$4.20,-0.24,-5.405%,"339,541,700"
3580,CUB,Lionheart Holdings Class A Ordinary Shares,$10.68,UNCH,--,"339,288,392"
3581,FCEL,"FuelCell Energy, Inc. Common Stock",$7.09,-0.63,-8.161%,"338,023,145"
3582,PEPG,PepGen Inc. Common Stock,$4.91,-0.45,-8.396%,"337,553,780"
3583,NMRA,"Neumora Therapeutics, Inc. Common Stock",$2.02,-0.02,-0.98%,"337,520,010"
3584,XFOR,"X4 Pharmaceuticals, Inc. Common Stock",$3.85,-0.15,-3.75%,"336,631,249"
3585,DCTH,"Delcath Systems, Inc. Common Stock",$9.70,-0.27,-2.708%,"336,590,000"
3586,PCB,PCB Bancorp Common Stock,$23.58,0.33,1.419%,"336,268,579"
3587,RLGT,"Radiant Logistics, Inc. Common Stock",$7.17,0.03,0.42%,"335,746,320"
3588,GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,$14.98,-0.25,-1.641%,"335,505,637"
3589,YRD,"Yiren Digital Ltd. American Depositary Shares, each representing two ordinary shares",$3.88,0.05,1.305%,"335,257,158"
3590,SITC,SITE Centers Corp. Common Stock,$6.39,0.11,1.752%,"335,234,353"
3591,ELA,Envela Corporation Common Stock,$12.88,-0.33,-2.498%,"334,409,571"
3592,CNCK,Coincheck Group N.V. Ordinary Shares,$2.46,0.06,2.50%,"334,380,720"
3593,SOPH,SOPHiA GENETICS SA Ordinary Shares,$5.00,-0.02,-0.398%,"334,155,355"
3594,AVBH,"Avidbank Holdings, Inc. Common stock",$30.50,0.09,0.296%,"333,999,461"
3595,NMG,Nouveau Monde Graphite Inc. Common Shares,$2.19,-0.32,-12.749%,"333,817,769"
3596,XOMA,XOMA Royalty Corporation Common Stock,$26.91,-0.06,-0.222%,"333,229,302"
3597,ONTF,"ON24, Inc. Common Stock",$7.87,-0.14,-1.748%,"332,762,449"
3598,FINS,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,$13.27,-0.03,-0.226%,"332,581,206"
3599,PKBK,"Parke Bancorp, Inc. Common Stock",$28.62,0.08,0.28%,"331,864,727"
3600,TBRG,"TruBridge, Inc. Common Stock",$22.06,1.01,4.798%,"331,098,231"
3601,ISSC,"Innovative Solutions and Support, Inc. Common Stock",$18.65,-1.68,-8.264%,"331,081,402"
3602,SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,$16.15,-0.05,-0.309%,"330,921,591"
3603,RC,Ready Capital Corporation Common Stock,$2.04,-0.02,-0.971%,"330,737,603"
3604,EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,$11.35,-0.02,-0.176%,"330,176,210"
3605,EVO,Evotec SE American Depositary Shares,$3.72,-0.07,-1.847%,"329,938,038"
3606,BCML,BayCom Corp Common Stock,$30.26,0.26,0.867%,"329,766,308"
3607,CBK,"Commercial Bancgroup, Inc. Common Stock",$26.88,-0.32,-1.176%,"329,001,631"
3608,LWAY,"Lifeway Foods, Inc. Common Stock",$21.59,-0.08,-0.369%,"328,788,993"
3609,AVNW,"Aviat Networks, Inc. Common Stock",$25.57,3.14,13.999%,"328,254,057"
3610,HDSN,"Hudson Technologies, Inc. Common Stock",$7.62,0.08,1.061%,"327,684,270"
3611,NCMI,"National CineMedia, Inc. Common Stock",$3.49,-0.11,-3.056%,"327,470,773"
3612,RILYL,"BRC Group Holdings, Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock, par value $0.0001",$10.70,0.0453,0.425%,"327,388,606"
3613,FNLC,"First Bancorp, Inc  (ME) Common Stock",$29.12,0.75,2.644%,"326,706,598"
3614,MBI,MBIA Inc. Common Stock,$6.47,-0.12,-1.821%,"326,693,760"
3615,RXST,"RxSight, Inc. Common Stock",$7.94,-0.40,-4.796%,"326,466,122"
3616,EVI,"EVI Industries, Inc.  Common Stock",$25.38,-0.26,-1.014%,"325,991,354"
3617,XOMAP,XOMA Royalty Corporation 8.625% Series A Cumulative Perpetual Preferred Stock,$26.30,0.01,0.038%,"325,675,609"
3618,TG,Tredegar Corporation Common Stock,$9.31,0.33,3.675%,"325,018,552"
3619,CZFS,"Citizens Financial Services, Inc. Common Stock",$67.60,0.95,1.425%,"324,911,085"
3620,WTI,"W&T Offshore, Inc. Common Stock",$2.18,UNCH,--,"324,334,348"
3621,IMMX,"Immix Biopharma, Inc. Common Stock",$6.12,-0.24,-3.774%,"324,085,396"
3622,SGHT,"Sight Sciences, Inc. Common Stock",$6.12,-0.35,-5.41%,"323,574,994"
3623,CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,$26.36,0.07,0.266%,"323,489,999"
3624,RWAY,Runway Growth Finance Corp. Common Stock,$8.95,-0.01,-0.112%,"323,399,631"
3625,PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$2.62,-0.26,-9.028%,"323,321,202"
3626,BYND,"Beyond Meat, Inc. Common Stock",$0.7123,-0.0431,-5.706%,"323,158,570"
3627,LAW,"CS Disco, Inc. Common Stock",$5.17,-0.49,-8.657%,"323,081,541"
3628,AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,$9.45,-0.54,-5.405%,"322,377,300"
3629,LOCO,"El Pollo Loco Holdings, Inc. Common Stock",$10.74,0.48,4.678%,"321,716,002"
3630,TRON,Tron Inc. Common Stock,$1.25,-0.02,-1.575%,"321,394,250"
3631,NVA,Nova Minerals Limited American Depositary Shares,$8.55,-0.33,-3.716%,"321,357,598"
3632,OTLY,Oatly Group AB American Depositary Shares,$10.73,-0.92,-7.897%,"321,127,354"
3633,FSTR,L.B. Foster Company Common Stock,$30.85,-0.49,-1.563%,"320,624,328"
3634,AVIR,"Atea Pharmaceuticals, Inc. Common Stock",$4.10,0.02,0.49%,"320,319,864"
3635,RFMZ,"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",$13.14,0.03,0.229%,"319,982,074"
3636,JRVR,"James River Group Holdings, Inc. Common Stock",$6.95,0.20,2.963%,"319,462,581"
3637,FSBW,"FS Bancorp, Inc. Common Stock",$42.47,-0.09,-0.211%,"319,309,081"
3638,LITB,"LightInTheBox Holding Co., Ltd. American Depositary Shares, each representing twelve ordinary shares",$2.89,0.07,2.482%,"318,866,364"
3639,FHTX,Foghorn Therapeutics Inc. Common Stock,$5.63,-0.06,-1.054%,"318,383,757"
3640,OFSSH,OFS Capital Corporation 4.95% Notes due 2028,$23.70,-0.06,-0.253%,"317,534,449"
3641,OOMA,"Ooma, Inc. Common Stock",$11.50,0.01,0.087%,"317,400,000"
3642,HELP,Cybin Inc. Common Stock,$6.36,-0.28,-4.217%,"317,326,673"
3643,CHSCL,"CHS Inc Class B Cumulative Redeemable Preferred Stock, Series 4",$25.77,-0.12,-0.463%,"316,249,517"
3644,WEYS,"Weyco Group, Inc. Common Stock",$33.00,1.10,3.448%,"315,096,804"
3645,GLDG,GoldMining Inc. Common Shares,$1.57,-0.10,-5.988%,"314,354,082"
3646,VGZ,Vista Gold Corp Common Stock,$2.49,-0.14,-5.323%,"314,260,679"
3647,XOMAO,XOMA Royalty Corporation Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock,$25.3701,0.0601,0.237%,"314,160,561"
3648,SMRT,"SmartRent, Inc. Class A Common Stock",$1.66,-0.05,-2.924%,"314,073,199"
3649,ALDX,"Aldeyra Therapeutics, Inc. Common Stock",$5.22,-0.19,-3.512%,"314,049,675"
3650,ALCO,"Alico, Inc. Common Stock",$41.00,-1.01,-2.404%,"313,922,486"
3651,BBCP,"Concrete Pumping Holdings, Inc. Common Stock",$6.17,0.02,0.325%,"313,777,849"
3652,EXOD,"Exodus Movement, Inc. Class A Common Stock",$10.70,0.23,2.197%,"313,773,060"
3653,CADL,"Candel Therapeutics, Inc. Common Stock",$5.71,-0.21,-3.547%,"313,469,310"
3654,GREEL,Greenidge Generation Holdings Inc. 8.50% Senior Notes due 2026,$19.99,-0.84,-4.033%,"313,311,606"
3655,OWLT,"Owlet, Inc. Class A Common Stock",$11.35,-1.53,-11.879%,"313,039,889"
3656,QUAD,"Quad Graphics, Inc Class A Common Stock",$6.15,-0.06,-0.966%,"312,920,456"
3657,NVEC,NVE Corporation Common Stock,$64.56,-1.41,-2.137%,"312,287,437"
3658,PNRG,PrimeEnergy Resources Corporation Common Stock,$191.00,9.70,5.35%,"312,285,000"
3659,CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,$25.40,UNCH,--,"311,708,876"
3660,MTLS,Materialise NV American Depositary Shares,$5.27,-0.08,-1.495%,"311,284,070"
3661,SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,$25.62,0.02,0.078%,"311,216,157"
3662,NUAI,"New Era Energy & Digital, Inc. Common Stock",$5.80,-0.865,-12.978%,"311,016,468"
3663,PPHC,"Public Policy Holding Company, Inc. Common Stock",$12.36,0.01,0.081%,"310,665,868"
3664,ECC,Eagle Point Credit Company Inc. Common Stock,$5.11,0.11,2.20%,"309,985,498"
3665,CHSCM,"CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",$25.16,-0.02,-0.079%,"308,763,595"
3666,GCO,Genesco Inc. Common Stock,$28.59,-0.03,-0.105%,"308,564,322"
3667,TSBK,"Timberland Bancorp, Inc. Common Stock",$39.12,0.02,0.051%,"308,295,840"
3668,NGEN,NervGen Pharma Corp. Common stock,$4.23,0.01,0.237%,"308,095,392"
3669,VMD,"Viemed Healthcare, Inc. Common Shares",$8.10,0.17,2.144%,"307,945,047"
3670,BNED,"Barnes & Noble Education, Inc Common Stock",$9.03,-0.15,-1.634%,"307,506,238"
3671,ACIU,AC Immune SA Common Stock,$3.06,-0.28,-8.383%,"307,255,754"
3672,PMM,Putnam Managed Municipal Income Trust Common Stock,$6.29,0.027,0.431%,"306,567,109"
3673,ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",$13.36,-0.01,-0.075%,"306,143,585"
3674,CARL,"Carlsmed, Inc. Common Stock",$11.51,-0.43,-3.601%,"306,084,371"
3675,BKKT,"Bakkt, Inc. Class A Common Stock",$12.18,-0.08,-0.653%,"310,947,593"
3676,PUBM,"PubMatic, Inc. Class A Common Stock",$6.69,-0.51,-7.083%,"310,515,025"
3677,PPHC,"Public Policy Holding Company, Inc. Common Stock",$12.35,0.05,0.407%,"310,414,521"
3678,JRVR,"James River Group Holdings, Inc. Common Stock",$6.75,-0.07,-1.026%,"310,269,413"
3679,SLP,"Simulations Plus, Inc. Common Stock",$15.40,-1.37,-8.169%,"310,257,409"
3680,ARQQ,Arqit Quantum Inc. Ordinary Shares,$19.79,-0.38,-1.884%,"309,750,290"
3681,VYGR,"Voyager Therapeutics, Inc. Common Stock",$3.91,-0.09,-2.25%,"309,370,629"
3682,SKYX,SKYX Platforms Corp. Common Stock,$2.35,-0.05,-2.083%,"309,060,504"
3683,CHSCM,"CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",$25.18,0.02,0.079%,"309,009,036"
3684,GCO,Genesco Inc. Common Stock,$28.62,-0.35,-1.208%,"308,888,104"
3685,TSBK,"Timberland Bancorp, Inc. Common Stock",$39.10,-0.02,-0.051%,"308,138,224"
3686,RMNI,"Rimini Street, Inc. (DE) Common Stock",$3.35,-0.13,-3.736%,"307,369,200"
3687,NGEN,NervGen Pharma Corp. Common stock,$4.22,0.04,0.957%,"307,367,034"
3688,LOCO,"El Pollo Loco Holdings, Inc. Common Stock",$10.26,-0.10,-0.965%,"307,337,633"
3689,RILYP,"BRC Group Holdings, Inc. Depositary Shares, each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock",$10.04,0.1932,1.962%,"307,194,543"
3690,EXOD,"Exodus Movement, Inc. Class A Common Stock",$10.47,-0.71,-6.351%,"307,028,405"
3691,ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",$13.37,-0.06,-0.447%,"306,372,734"
3692,HRZN,Horizon Technology Finance Corporation Common Stock,$6.66,-0.06,-0.893%,"306,129,770"
3693,PMM,Putnam Managed Municipal Income Trust Common Stock,$6.263,0.013,0.208%,"305,251,161"
3694,DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),$5.61,-0.64,-10.24%,"304,777,853"
3695,EOLS,"Evolus, Inc. Common Stock",$4.70,-0.21,-4.277%,"304,652,985"
3696,WEYS,"Weyco Group, Inc. Common Stock",$31.90,-0.20,-0.623%,"304,593,577"
3697,BYRN,"Byrna Technologies, Inc. Common Stock",$13.38,-0.36,-2.62%,"304,067,391"
3698,SSP,E.W. Scripps Company (The) Class A Common Stock,$3.42,-0.09,-2.564%,"303,703,285"
3699,ECC,Eagle Point Credit Company Inc. Common Stock,$5.00,-0.19,-3.661%,"303,312,620"
3700,NL,"NL Industries, Inc. Common Stock",$6.07,-0.06,-0.979%,"296,596,795"
3701,BKKT,"Bakkt, Inc. Class A Common Stock",$11.61,-0.57,-4.68%,"296,395,858"
3702,RPAY,Repay Holdings Corporation Class A Common Stock,$3.44,0.07,2.077%,"296,054,082"
3703,LFCR,"Lifecore Biomedical, Inc. Common Stock",$7.90,-0.07,-0.878%,"295,984,181"
3704,VYGR,"Voyager Therapeutics, Inc. Common Stock",$3.74,-0.17,-4.348%,"295,919,732"
3705,SENS,"Senseonics Holdings, Inc. Common Stock",$7.23,0.10,1.403%,"295,406,666"
3706,MIN,MFS Intermediate Income Trust Common Stock,$2.57,-0.01,-0.388%,"295,287,271"
3707,QTRX,Quanterix Corporation Common Stock,$6.32,-0.13,-2.016%,"295,212,237"
3708,OIA,Invesco Municipal Income Opportunities Trust Common Stock,$6.20,-0.01,-0.161%,"295,154,652"
3709,BKTI,BK Technologies Corporation Common Stock,$79.08,0.55,0.70%,"295,145,618"
3710,VFSWW,VinFast Auto Ltd. Warrant,$0.1261,UNCH,--,"295,012,548"
